Unique ID,Airline,Airline ID,Source Airport ID,Source Airport,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Source Airport Timezone,Destination Airport ID,Destination Airport,Destination Airport Name,Destination Airport City,Destination Airport Country,Destination Airport Latitude,Destination Airport Longitude,Destination Airport Timezone,Codeshare,Stops,Equipment
67,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,,0,787
68,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3861,MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.99340057,-90.25800323,-6,,0,
69,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,,0,M83 M80
70,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,319 E90
71,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,,0,319
72,AA,24,4007,AVL,Asheville Regional Airport,Asheville,United States,35.43619919,-82.54180145,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,DH8 DH3
73,AA,24,4286,AVP,Wilkes Barre Scranton International Airport,Scranton,United States,41.33850098,-75.7233963,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,CRJ
74,AA,24,4286,AVP,Wilkes Barre Scranton International Airport,Scranton,United States,41.33850098,-75.7233963,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
75,AA,24,4039,AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,United States,42.23490143,-85.55210114,-5,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ER4 ERD
76,AA,24,2057,BAH,Bahrain International Airport,Bahrain,Bahrain,26.27079964,50.63359833,3,11051,DOH,Hamad International Airport,Doha,Qatar,25.273056,51.608056,3,Y,0,777
77,AA,24,2057,BAH,Bahrain International Airport,Bahrain,Bahrain,26.27079964,50.63359833,3,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,777
78,AA,24,1218,BCN,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,1,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,,0,763
79,AA,24,1218,BCN,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,1,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,320 319 321 767
80,AA,24,1218,BCN,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,1,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,763
81,AA,24,1218,BCN,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,1,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,332
82,AA,24,4069,BDA,L.F. Wade International International Airport,Bermuda,Bermuda,32.36399841,-64.67870331,-4,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,,0,738
83,AA,24,4069,BDA,L.F. Wade International International Airport,Bermuda,Bermuda,32.36399841,-64.67870331,-4,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
84,AA,24,4069,BDA,L.F. Wade International International Airport,Bermuda,Bermuda,32.36399841,-64.67870331,-4,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,319
85,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,320 321 319
86,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,E75 CRJ E70
87,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,738
88,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,,0,738
89,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
90,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,E75 ER4
91,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,319 DH3 E90
92,AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3570,PIT,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,-5,Y,0,ER4
93,AA,24,3558,BFL,Meadows Field,Bakersfield,United States,35.43360138,-119.0569992,-8,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,Y,0,CRJ CR9
94,AA,24,2875,BGI,Sir Grantley Adams International Airport,Bridgetown,Barbados,13.07460022,-59.49250031,-4,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,757
95,AA,24,4129,BGM,Greater Binghamton/Edwin A Link field,Binghamton,United States,42.20869827,-75.97979736,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
96,AA,24,636,BGO,Bergen Airport Flesland,Bergen,Norway,60.29339981,5.218140125,1,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,319
97,AA,24,3463,BGR,Bangor International Airport,Bangor,United States,44.80739975,-68.82810211,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,CRJ E70
98,AA,24,3463,BGR,Bangor International Airport,Bangor,United States,44.80739975,-68.82810211,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,Y,0,E75 CRJ
99,AA,24,467,BHD,George Best Belfast City Airport,Belfast,United Kingdom,54.61809921,-5.872499943,0,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,319
100,AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,CRJ CR7
101,AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,,0,CRJ
102,AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M80 M83
103,AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,Y,0,ER4
104,AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,CRJ
105,AA,24,1050,BJL,Banjul International Airport,Banjul,Gambia,13.3380003,-16.6522007,0,1084,DKR,LÃ©opold SÃ©dar Senghor International Airport,Dakar,Senegal,14.73970032,-17.49020004,0,Y,0,L4T
106,AA,24,1815,BJX,Del BajÃ­o International Airport,Del Bajio,Mexico,20.9935,-101.481003,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,319
107,AA,24,3885,BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.68109989,100.7470016,7,3304,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,2.745579958,101.7099991,8,,0,737
108,AA,24,3885,BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.68109989,100.7470016,7,2279,NRT,Narita International Airport,Tokyo,Japan,35.76470184,140.3860016,9,,0,763
109,AA,24,1538,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy,44.5354,11.2887,1,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,319 320
110,AA,24,3131,BLR,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,5.5,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,777
111,AA,24,4037,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,40.47710037,-88.91590118,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4
112,AA,24,4037,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,40.47710037,-88.91590118,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ER4 ERD
113,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,319 CR7
114,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,,0,CRJ
115,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M80 738 M83
116,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,Y,0,ER4
117,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,,0,738
118,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3697,LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,-5,Y,0,CR7
119,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
120,AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ERD ER4 CR7 E75
