Airline,Airline ID,Source Airport ID,Source Airport,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Source Airport Timezone,Destination airport ID,Destination Airport,Destination Airport Name,Destination Airport City,Destination airport Country,Destination Airport Latitude,Destination Airport Longitude,Destination Airport Timezone,Codeshare,Stops,Equipment
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,,0,CRJ
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M80 738 M83
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,Y,0,ER4
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,,0,738
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3697,LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,-5,Y,0,CR7
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ERD ER4 CR7 E75
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,CRJ
AA,24,3495,BOI,Boise Air Terminal/Gowen Field,Boise,United States,43.5644,-116.223,-7,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,,0,319
AA,24,3448,BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5,3820,BUF,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,-5,Y,0,CRJ
AA,24,3448,BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,319 321 320 E90
AA,24,3448,BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,,0,319 E90
AA,24,3448,BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,738 757
AA,24,3448,BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,,0,738
AA,24,3448,BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,,0,738 757
AA,24,3448,BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5,3697,LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,-5,,0,E90 319
